Site,Treatment,Year,diapause
Palermo,14.75,2014,0
Palermo,14.75,2014,0
Palermo,14.75,2014,0
Palermo,14.75,2014,0
Palermo,14.75,2014,0
Palermo,14.75,2014,0
Palermo,14.75,2014,0
Palermo,14.75,2014,0
Palermo,14.75,2014,0
Palermo,14.75,2014,0
Palermo,14.75,2014,0
Palermo,14.75,2014,0
Palermo,14.75,2014,0
Palermo,14.75,2014,0
Palermo,14.75,2014,0
Palermo,14.75,2014,0
Palermo,14.75,2014,0
Palermo,14.75,2014,0
Palermo,14.75,2014,0
Palermo,14.75,2014,0
Palermo,14.75,2014,0
Palermo,14.75,2014,0
Palermo,14.75,2014,0
Palermo,14.75,2014,0
Palermo,14.75,2014,0
Palermo,14.75,2014,0
Palermo,14.75,2014,0
Palermo,14.75,2014,0
Palermo,14.75,2014,0
Palermo,14.75,2014,0
Palermo,14.75,2014,0
Palermo,14.75,2014,0
Palermo,14.75,2014,0
Palermo,14.75,2014,0
Palermo,15.25,2014,1
Palermo,15.25,2014,0
Palermo,15.25,2014,0
Palermo,15.25,2014,1
Palermo,15.25,2014,1
Palermo,15.25,2014,0
Palermo,15.25,2014,0
Palermo,15.25,2014,0
Palermo,15.25,2014,1
Palermo,15.25,2014,0
Palermo,15.25,2014,0
Palermo,15.25,2014,1
Palermo,15.25,2014,0
Palermo,15.25,2014,0
Palermo,15.25,2014,1
Palermo,15.25,2014,1
Palermo,15.25,2014,0
Palermo,15.25,2014,0
Palermo,15.25,2014,0
Palermo,15.25,2014,0
Palermo,15.25,2014,0
Palermo,15.25,2014,1
Palermo,15.25,2014,1
Palermo,15.25,2014,0
Palermo,15.25,2014,1
Palermo,15.25,2014,0
Palermo,15.25,2014,0
Palermo,15.25,2014,1
Palermo,15.25,2014,0
Palermo,15.25,2014,0
Palermo,15.25,2014,0
Palermo,15.25,2014,1
Palermo,15.25,2014,1
Palermo,15.25,2014,0
Palermo,15.25,2014,0
Palermo,15.25,2014,1
Palermo,15.75,2014,0
Palermo,15.75,2014,0
Palermo,15.75,2014,1
Palermo,15.75,2014,0
Palermo,15.75,2014,0
Palermo,15.75,2014,1
Palermo,15.75,2014,0
Palermo,15.75,2014,1
Palermo,15.75,2014,1
Palermo,15.75,2014,1
Palermo,15.75,2014,1
Palermo,15.75,2014,1
Palermo,15.75,2014,0
Palermo,15.75,2014,0
Palermo,15.75,2014,1
Palermo,15.75,2014,1
Palermo,15.75,2014,1
Palermo,15.75,2014,1
Palermo,15.75,2014,1
Palermo,15.75,2014,1
Palermo,15.75,2014,0
Palermo,15.75,2014,1
Palermo,15.75,2014,0
Palermo,15.75,2014,1
Palermo,15.75,2014,1
Palermo,15.75,2014,0
Palermo,15.75,2014,1
Palermo,15.75,2014,0
Palermo,15.75,2014,0
Palermo,15.75,2014,1
Palermo,15.75,2014,1
Palermo,15.75,2014,0
Palermo,15.75,2014,1
Palermo,15.75,2014,1
Palermo,16.25,2014,1
Palermo,16.25,2014,1
Palermo,16.25,2014,1
Palermo,16.25,2014,1
Palermo,16.25,2014,1
Palermo,16.25,2014,1
Palermo,16.25,2014,1
Palermo,16.25,2014,1
Palermo,16.25,2014,1
Palermo,16.25,2014,1
Palermo,16.25,2014,1
Palermo,16.25,2014,1
Palermo,16.25,2014,1
Palermo,16.25,2014,1
Palermo,16.25,2014,1
Palermo,16.25,2014,1
Palermo,16.25,2014,1
Palermo,16.25,2014,0
Palermo,16.25,2014,1
Palermo,16.25,2014,1
Palermo,16.25,2014,1
Palermo,16.25,2014,1
Palermo,16.25,2014,1
Palermo,16.25,2014,1
Palermo,16.25,2014,1
Palermo,16.25,2014,1
Palermo,16.25,2014,1
Palermo,16.25,2014,1
Palermo,16.25,2014,1
Palermo,16.25,2014,1
Palermo,16.25,2014,1
Palermo,16.25,2014,1
Palermo,16.25,2014,1
Sutherlin,14.75,2014,0
Sutherlin,14.75,2014,0
Sutherlin,14.75,2014,0
Sutherlin,14.75,2014,0
Sutherlin,14.75,2014,0
Sutherlin,14.75,2014,0
Sutherlin,14.75,2014,0
Sutherlin,14.75,2014,0
Sutherlin,14.75,2014,0
Sutherlin,14.75,2014,0
Sutherlin,14.75,2014,0
Sutherlin,14.75,2014,0
Sutherlin,14.75,2014,0
Sutherlin,14.75,2014,0
Sutherlin,14.75,2014,0
Sutherlin,14.75,2014,0
Sutherlin,14.75,2014,0
Sutherlin,14.75,2014,0
Sutherlin,14.75,2014,0
Sutherlin,14.75,2014,0
Sutherlin,14.75,2014,0
Sutherlin,14.75,2014,0
Sutherlin,14.75,2014,0
Sutherlin,14.75,2014,0
Sutherlin,14.75,2014,0
