"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TMAX","TMIN"
"USC00449215","WISE 1 SE, VA US","36.9725","-82.5579","781.5","1993-01-01","12.8","-1.7"
"USC00449215","WISE 1 SE, VA US","36.9725","-82.5579","781.5","1993-01-02","8.9","-4.4"
"USC00449215","WISE 1 SE, VA US","36.9725","-82.5579","781.5","1993-01-03","12.2","6.1"
"USC00449215","WISE 1 SE, VA US","36.9725","-82.5579","781.5","1993-01-04","17.2","6.1"
"USC00449215","WISE 1 SE, VA US","36.9725","-82.5579","781.5","1993-01-05","16.7","3.9"
"USC00449215","WISE 1 SE, VA US","36.9725","-82.5579","781.5","1993-01-06","4.4","2.8"
"USC00449215","WISE 1 SE, VA US","36.9725","-82.5579","781.5","1993-01-07","11.1","2.8"
"USC00449215","WISE 1 SE, VA US","36.9725","-82.5579","781.5","1993-01-08","9.4","3.9"
"USC00449215","WISE 1 SE, VA US","36.9725","-82.5579","781.5","1993-01-09","6.1","1.7"
"USC00449215","WISE 1 SE, VA US","36.9725","-82.5579","781.5","1993-01-10","6.1","3.3"
"USC00449215","WISE 1 SE, VA US","36.9725","-82.5579","781.5","1993-01-11","8.9","3.3"
"USC00449215","WISE 1 SE, VA US","36.9725","-82.5579","781.5","1993-01-12","14.4","6.7"
"USC00449215","WISE 1 SE, VA US","36.9725","-82.5579","781.5","1993-01-13","12.8","4.4"
"USC00449215","WISE 1 SE, VA US","36.9725","-82.5579","781.5","1993-01-14","4.4","-2.8"
"USC00449215","WISE 1 SE, VA US","36.9725","-82.5579","781.5","1993-01-15","6.7","-4.4"
"USC00449215","WISE 1 SE, VA US","36.9725","-82.5579","781.5","1993-01-16","5.0","-2.2"
"USC00449215","WISE 1 SE, VA US","36.9725","-82.5579","781.5","1993-01-17","3.3","0.0"
"USC00449215","WISE 1 SE, VA US","36.9725","-82.5579","781.5","1993-01-18","3.3","-5.6"
"USC00449215","WISE 1 SE, VA US","36.9725","-82.5579","781.5","1993-01-19","1.1","-3.9"
"USC00449215","WISE 1 SE, VA US","36.9725","-82.5579","781.5","1993-01-20","12.2","-1.1"
"USC00449215","WISE 1 SE, VA US","36.9725","-82.5579","781.5","1993-01-21","11.1","3.3"
"USC00449215","WISE 1 SE, VA US","36.9725","-82.5579","781.5","1993-01-22","8.9","2.2"
"USC00449215","WISE 1 SE, VA US","36.9725","-82.5579","781.5","1993-01-23","14.4","-3.3"
"USC00449215","WISE 1 SE, VA US","36.9725","-82.5579","781.5","1993-01-24","11.7","-1.1"
"USC00449215","WISE 1 SE, VA US","36.9725","-82.5579","781.5","1993-01-25","1.1","-7.8"
"USC00449215","WISE 1 SE, VA US","36.9725","-82.5579","781.5","1993-01-26","7.8","-8.3"
"USC00449215","WISE 1 SE, VA US","36.9725","-82.5579","781.5","1993-01-27","5.6","-2.8"
"USC00449215","WISE 1 SE, VA US","36.9725","-82.5579","781.5","1993-01-28","11.1","-3.9"
"USC00449215","WISE 1 SE, VA US","36.9725","-82.5579","781.5","1993-01-29","10.6","1.1"
"USC00449215","WISE 1 SE, VA US","36.9725","-82.5579","781.5","1993-01-30","8.3","-10.0"
"USC00449215","WISE 1 SE, VA US","36.9725","-82.5579","781.5","1993-01-31","10.6","-1.7"
