day,site,lat,lon,ndiap,nrep,group,year
15:10,Big Bend State Park,35.105465,-114.647892,0,40,1,2017
13:50,Big Bend State Park,35.105465,-114.647892,19,21,1,2017
14:30,Big Bend State Park,35.105465,-114.647892,0,40,1,2017
12:30,Big Bend State Park,35.105465,-114.647892,40,0,1,2017
13:10,Big Bend State Park,35.105465,-114.647892,24,6,1,2017
13:10,Big Bend State Park,35.105465,-114.647892,25,5,2,2017
13:10,Big Bend State Park,35.105465,-114.647892,26,4,3,2017
15:10,Delta,39.143865,-112.957605,0,41,1,2017
13:50,Delta,39.143865,-112.957605,40,0,1,2017
14:30,Delta,39.143865,-112.957605,10,30,1,2017
12:30,Delta,39.143865,-112.957605,40,0,1,2017
13:10,Delta,39.143865,-112.957605,30,0,1,2017
13:10,Delta,39.143865,-112.957605,30,0,2,2017
13:10,Delta,39.143865,-112.957605,29,1,3,2017
15:10,Gold Butte,36.733571,-114.218824,0,40,1,2017
13:50,Gold Butte,36.733571,-114.218824,32,8,1,2017
14:30,Gold Butte,36.733571,-114.218824,0,40,1,2017
12:30,Gold Butte,36.733571,-114.218824,40,0,1,2017
13:10,Gold Butte,36.733571,-114.218824,30,0,1,2017
13:10,Gold Butte,36.733571,-114.218824,30,0,2,2017
13:10,Gold Butte,36.733571,-114.218824,30,0,3,2017
15:10,Lovelock,40.043876,-118.595045,0,40,1,2017
13:50,Lovelock,40.043876,-118.595045,38,2,1,2017
14:30,Lovelock,40.043876,-118.595045,6,34,1,2017
12:30,Lovelock,40.043876,-118.595045,40,0,1,2017
13:10,Lovelock,40.043876,-118.595045,30,0,1,2017
13:10,Lovelock,40.043876,-118.595045,30,0,2,2017
13:10,Lovelock,40.043876,-118.595045,30,0,3,2017
13:10,Parker,34.160184,-114.303191,8,22,1,2017
13:10,Parker,34.160184,-114.303191,5,25,2,2017
13:10,Parker,34.160184,-114.303191,12,18,3,2017
13:10,St. George,37.086471,-113.567291,30,0,1,2017
13:10,St. George,37.086471,-113.567291,30,0,2,2017
13:10,St. George,37.086471,-113.567291,29,1,3,2017
13:10,Topock Marsh,34.764898,-114.538707,14,16,1,2017
13:10,Topock Marsh,34.764898,-114.538707,6,24,2,2017
13:10,Topock Marsh,34.764898,-114.538707,11,19,3,2017
13:50,Topock Marsh,34.764898,-114.538707,0,40,1,2017
14:30,Topock Marsh,34.764898,-114.538707,0,40,1,2017
15:10,Topock Marsh,34.764898,-114.538707,0,40,1,2017
12:30,Topock Marsh,34.764898,-114.538707,22,18,1,2017
14:10,Lovell,44.84,-108.19,48,0,1,2007
14:30,Lovell,44.84,-108.19,31,19,1,2007
14:50,Lovell,44.84,-108.19,26,24,1,2007
15:10,Lovell,44.84,-108.19,0,48,1,2007
13:30,Lovelock,40.02,-118.52,50,0,1,2007
13:50,Lovelock,40.02,-118.52,28,21,1,2007
14:10,Lovelock,40.02,-118.52,38,12,1,2007
14:30,Lovelock,40.02,-118.52,7,43,1,2007
14:50,Lovelock,40.02,-118.52,1,49,1,2007
13:50,Pueblo,38.27,-104.71,66,0,1,2007
14:10,Pueblo,38.27,-104.71,88,15,1,2007
14:30,Pueblo,38.27,-104.71,32,69,1,2007
14:50,Pueblo,38.27,-104.71,22,75,1,2007
13:30,Artesia,33,-104.33,47,3,1,2007
13:50,Artesia,33,-104.33,36,14,1,2007
14:10,Artesia,33,-104.33,10,38,1,2007
14:30,Artesia,33,-104.33,0,50,1,2007
14:50,Artesia,33,-104.33,1,46,1,2007
13:20,Delta,39.14381,-112.95713,30,0,1,2014
13:40,Delta,39.14381,-112.95713,30,0,1,2014
14:00,Delta,39.14381,-112.95713,29,1,1,2014
14:20,Delta,39.14381,-112.95713,23,7,1,2014
14:40,Delta,39.14381,-112.95713,1,29,1,2014
15:00,Delta,39.14381,-112.95713,1,29,1,2014
15:20,Delta,39.14381,-112.95713,0,30,1,2014
13:20,St. George,37.08662,-113.56699,29,0,1,2014
13:40,St. George,37.08662,-113.56699,29,0,1,2014
14:00,St. George,37.08662,-113.56699,27,5,1,2014
14:20,St. George,37.08662,-113.56699,5,25,1,2014
14:40,St. George,37.08662,-113.56699,0,29,1,2014
15:00,St. George,37.08662,-113.56699,4,26,1,2014
15:20,St. George,37.08662,-113.56699,0,31,1,2014
13:20,Virgin River,36.78912,-114.09308,31,0,1,2014
13:40,Virgin River,36.78912,-114.09308,28,0,1,2014
14:00,Virgin River,36.78912,-114.09308,26,4,1,2014
14:20,Virgin River,36.78912,-114.09308,5,25,1,2014
14:40,Virgin River,36.78912,-114.09308,3,27,1,2014
15:00,Virgin River,36.78912,-114.09308,4,27,1,2014
15:20,Virgin River,36.78912,-114.09308,0,30,1,2014
13:20,Lake Mead,36.37703,-114.39589,30,0,1,2014
13:40,Lake Mead,36.37703,-114.39589,30,1,1,2014
14:00,Lake Mead,36.37703,-114.39589,24,8,1,2014
14:20,Lake Mead,36.37703,-114.39589,5,25,1,2014
14:40,Lake Mead,36.37703,-114.39589,3,27,1,2014
15:00,Lake Mead,36.37703,-114.39589,1,29,1,2014
15:20,Lake Mead,36.37703,-114.39589,0,30,1,2014
13:20,Princess,35.26582,-114.58024,27,3,1,2014
13:40,Princess,35.26582,-114.58024,21,8,1,2014
14:00,Princess,35.26582,-114.58024,6,24,1,2014
14:20,Princess,35.26582,-114.58024,6,24,1,2014
14:40,Princess,35.26582,-114.58024,2,28,1,2014
15:00,Princess,35.26582,-114.58024,0,30,1,2014
15:20,Princess,35.26582,-114.58024,0,30,1,2014
