EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 11-10-2017
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TN   : minimum temperature in 0.1 &#176;C
30-34 Q_TN : Quality code for TN (0='valid'; 1='suspect'; 9='missing')

This is the series (SOUID: 125269) of GERMANY, LENSAHN (STAID: 4348)
See file sources.txt for more info.



 STAID, SOUID,    DATE,   TN, Q_TN
  4348,125269,19620401,   -3,    0
  4348,125269,19620402,   20,    0
  4348,125269,19620403,   47,    0
  4348,125269,19620404,   40,    0
  4348,125269,19620405,   14,    0
  4348,125269,19620406,   30,    0
  4348,125269,19620407,    4,    0
  4348,125269,19620408,   50,    0
  4348,125269,19620409,   26,    0
  4348,125269,19620410,   32,    0
  4348,125269,19620411,    5,    0
  4348,125269,19620412,   44,    0
  4348,125269,19620413,   35,    0
  4348,125269,19620414,   32,    0
  4348,125269,19620415,   24,    0
  4348,125269,19620416,   38,    0
  4348,125269,19620417,   35,    0
  4348,125269,19620418,   25,    0
  4348,125269,19620419,   52,    0
  4348,125269,19620420,   40,    0
  4348,125269,19620421,   50,    0
  4348,125269,19620422,   34,    0
  4348,125269,19620423,   46,    0
  4348,125269,19620424,   46,    0
  4348,125269,19620425,   42,    0
  4348,125269,19620426,   69,    0
  4348,125269,19620427,   67,    0
  4348,125269,19620428,   57,    0
  4348,125269,19620429,   44,    0
  4348,125269,19620430,   12,    0
  4348,125269,19620501,  -16,    0
  4348,125269,19620502,   23,    0
  4348,125269,19620503,   51,    0
  4348,125269,19620504,   12,    0
  4348,125269,19620505,  -10,    0
  4348,125269,19620506,    5,    0
  4348,125269,19620507,  117,    0
  4348,125269,19620508,   84,    0
  4348,125269,19620509,  101,    0
  4348,125269,19620510,   89,    0
  4348,125269,19620511,   75,    0
  4348,125269,19620512,   70,    0
  4348,125269,19620513,   67,    0
  4348,125269,19620514,   73,    0
  4348,125269,19620515,   69,    0
  4348,125269,19620516,   65,    0
  4348,125269,19620517,   56,    0
  4348,125269,19620518,   39,    0
  4348,125269,19620519,   55,    0
  4348,125269,19620520,   60,    0
  4348,125269,19620521,   17,    0
  4348,125269,19620522,   93,    0
  4348,125269,19620523,   80,    0
  4348,125269,19620524,   74,    0
  4348,125269,19620525,   71,    0
  4348,125269,19620526,   80,    0
  4348,125269,19620527,   66,    0
  4348,125269,19620528,   26,    0
  4348,125269,19620529,   89,    0
  4348,125269,19620530,   68,    0
  4348,125269,19620531,   17,    0
  4348,125269,19620601,   55,    0
  4348,125269,19620602,   56,    0
  4348,125269,19620603,   45,    0
  4348,125269,19620604,   44,    0
  4348,125269,19620605,   51,    0
  4348,125269,19620606,   86,    0
  4348,125269,19620607,   85,    0
  4348,125269,19620608,  105,    0
  4348,125269,19620609,  110,    0
  4348,125269,19620610,   83,    0
  4348,125269,19620611,   68,    0
  4348,125269,19620612,   62,    0
  4348,125269,19620613,   45,    0
  4348,125269,19620614,  122,    0
  4348,125269,19620615,  152,    0
  4348,125269,19620616,  118,    0
  4348,125269,19620617,  125,    0
  4348,125269,19620618,   46,    0
  4348,125269,19620619,  136,    0
  4348,125269,19620620,   91,    0
  4348,125269,19620621,  136,    0
  4348,125269,19620622,  151,    0
  4348,125269,19620623,  111,    0
  4348,125269,19620624,   74,    0
  4348,125269,19620625,  103,    0
  4348,125269,19620626,   81,    0
  4348,125269,19620627,   91,    0
  4348,125269,19620628,   84,    0
  4348,125269,19620629,   90,    0
  4348,125269,19620630,   96,    0
  4348,125269,19620701,  100,    0
  4348,125269,19620702,  100,    0
  4348,125269,19620703,   72,    0
  4348,125269,19620704,   90,    0
  4348,125269,19620705,   84,    0
  4348,125269,19620706,  105,    0
  4348,125269,19620707,  102,    0
  4348,125269,19620708,  111,    0
  4348,125269,19620709,  102,    0
  4348,125269,19620710,   75,    0
  4348,125269,19620711,  104,    0
  4348,125269,19620712,  103,    0
  4348,125269,19620713,  120,    0
  4348,125269,19620714,  120,    0
  4348,125269,19620715,  103,    0
  4348,125269,19620716,  102,    0
  4348,125269,19620717,  106,    0
  4348,125269,19620718,  137,    0
  4348,125269,19620719,  104,    0
  4348,125269,19620720,  142,    0
  4348,125269,19620721,  135,    0
  4348,125269,19620722,  114,    0
  4348,125269,19620723,  121,    0
  4348,125269,19620724,  105,    0
  4348,125269,19620725,   84,    0
  4348,125269,19620726,  124,    0
  4348,125269,19620727,  122,    0
  4348,125269,19620728,  108,    0
  4348,125269,19620729,  121,    0
  4348,125269,19620730,   86,    0
  4348,125269,19620731,   76,    0
  4348,125269,19620801,  129,    0
  4348,125269,19620802,  104,    0
  4348,125269,19620803,  106,    0
  4348,125269,19620804,  116,    0
  4348,125269,19620805,   71,    0
  4348,125269,19620806,   66,    0
  4348,125269,19620807,  124,    0
  4348,125269,19620808,  115,    0
  4348,125269,19620809,   83,    0
  4348,125269,19620810,   95,    0
  4348,125269,19620811,  107,    0
  4348,125269,19620812,  146,    0
  4348,125269,19620813,  122,    0
  4348,125269,19620814,   90,    0
  4348,125269,19620815,   93,    0
