chamber,temperature,photoperiod,starting_lifestage,population,emerg_group,last_emerg_date,diap_test_date,repro_female,feeder,diapause,notes
1,21,14.75,egg,S,early,NA,5-Sep,0,0,28,
1,21,14.75,egg,Y,early,NA,5-Sep,0,0,29,
1,21,14.75,egg,V,early,NA,10-Sep,0,0,23,
1,21,14.75,egg,S,late,NA,10-Sep,0,0,26,
1,21,14.75,egg,Y,late,22-Aug,10-Sep,0,0,37,
1,21,14.75,egg,V,late,NA,12-Sep,0,2,31,
1,21,14.75,egg,MC,early,NA,13-Sep,0,4,25,
1,21,14.75,egg,BS,early,NA,15-Sep,0,1,29,
1,21,14.75,egg,M,early,NA,12-Sep,0,0,28,
1,21,14.75,egg,BL,early,NA,13-Sep,0,1,26,
1,21,14.75,egg,WP,early,NA,15-Sep,0,1,29,
1,21,14.75,egg,FD,early,NA,13-Sep,0,0,26,
1,21,14.75,egg,MC,late,NA,16-Sep,0,0,24,
1,21,14.75,egg,BS,late,NA,17-Sep,0,0,26,
1,21,14.75,egg,M,late,23-Aug,16-Sep,0,0,30,
1,21,14.75,egg,BL,late,25-Aug,16-Sep,0,0,28,
1,21,14.75,egg,WP,late,NA,17-Sep,0,0,13,
1,21,14.75,egg,FD,late,24-Aug,17-Sep,0,1,26,
1,21,14.75,egg,P,early,NA,15-Sep,0,0,27,
1,21,14.75,egg,P,late,26-Aug,17-Sep,0,1,30,
2,21,15.25,egg,S,early,NA,10-Sep,0,1,26,
2,21,15.25,egg,Y,early,NA,10-Sep,0,0,25,
2,21,15.25,egg,V,early,NA,12-Sep,2,6,22,
2,21,15.25,egg,S,late,NA,12-Sep,0,0,27,
2,21,15.25,egg,Y,late,23-Aug,12-Sep,0,0,26,
2,21,15.25,egg,V,late,NA,13-Sep,1,2,17,
2,21,15.25,egg,MC,early,NA,13-Sep,0,0,24,
2,21,15.25,egg,BS,early,NA,15-Sep,0,0,30,
2,21,15.25,egg,M,early,NA,13-Sep,0,2,22,
2,21,15.25,egg,BL,early,NA,13-Sep,0,0,28,
2,21,15.25,egg,WP,early,NA,15-Sep,0,0,30,
2,21,15.25,egg,FD,early,NA,13-Sep,0,0,26,
2,21,15.25,egg,MC,late,25-Aug,16-Sep,0,0,30,
2,21,15.25,egg,BS,late,26-Aug,17-Sep,0,0,24,
2,21,15.25,egg,M,late,26-Aug,16-Sep,0,1,37,
2,21,15.25,egg,BL,late,26-Aug,16-Sep,0,0,24,
2,21,15.25,egg,WP,late,NA,17-Sep,0,0,20,
2,21,15.25,egg,FD,late,26-Aug,17-Sep,0,1,28,
2,21,15.25,egg,P,early,NA,15-Sep,0,0,27,
2,21,15.25,egg,P,late,NA,17-Sep,2,0,17,
3,26,15.75,egg,S,early,NA,25-Aug,12,12,1,
3,26,15.75,egg,Y,early,NA,25-Aug,10,15,0,
3,26,15.75,egg,V,early,NA,27-Aug,14,11,0,
3,26,15.75,egg,S,late,NA,25-Aug,6,19,0,
3,26,15.75,egg,Y,late,NA,26-Aug,14,11,0,
3,26,15.75,egg,V,late,NA,30-Aug,12,13,0,
3,26,15.75,egg,MC,early,NA,28-Aug,11,14,0,
3,26,15.75,egg,BS,early,NA,30-Aug,12,9,4,
3,26,15.75,egg,M,early,NA,30-Aug,11,10,4,
3,26,15.75,egg,BL,early,NA,28-Aug,6,17,2,
3,26,15.75,egg,WP,early,NA,30-Aug,12,10,0,
3,26,15.75,egg,FD,early,NA,28-Aug,10,15,0,
3,26,15.75,egg,MC,late,NA,31-Aug,10,8,2,
3,26,15.75,egg,BS,late,NA,1-Sep,10,5,3,
3,26,15.75,egg,M,late,NA,1-Sep,3,6,1,
3,26,15.75,egg,BL,late,NA,31-Aug,9,5,9,
3,26,15.75,egg,WP,late,NA,1-Sep,2,7,0,
3,26,15.75,egg,FD,late,NA,31-Aug,13,12,0,
3,26,15.75,egg,P,early,NA,31-Aug,15,8,1,
3,26,15.75,egg,P,late,NA,3-Sep,10,9,4,
4,21,15.75,egg,S,early,NA,5-Sep,0,0,28,
4,21,15.75,egg,Y,early,NA,5-Sep,0,0,26,
4,21,15.75,egg,V,early,NA,10-Sep,8,9,14,
4,21,15.75,egg,S,late,23-Aug,10-Sep,3,1,27,
4,21,15.75,egg,Y,late,22-Aug,10-Sep,1,2,24,
4,21,15.75,egg,V,late,23-Aug,12-Sep,5,2,23,
4,21,15.75,egg,MC,early,NA,13-Sep,0,0,19,6 mold deaths
4,21,15.75,egg,BS,early,NA,15-Sep,0,0,27,
4,21,15.75,egg,M,early,NA,12-Sep,0,0,30,
4,21,15.75,egg,BL,early,NA,13-Sep,0,1,17,9 mold deaths
4,21,15.75,egg,WP,early,NA,15-Sep,0,1,24,
4,21,15.75,egg,FD,early,NA,13-Sep,0,1,22,
4,21,15.75,egg,MC,late,25-Aug,16-Sep,1,1,25,
4,21,15.75,egg,BS,late,NA,17-Sep,0,0,16,
4,21,15.75,egg,M,late,NA,16-Sep,0,2,19,
4,21,15.75,egg,BL,late,NA,16-Sep,0,0,7,
4,21,15.75,egg,WP,late,NA,17-Sep,1,1,15,
4,21,15.75,egg,FD,late,28-Aug,17-Sep,1,2,24,
4,21,15.75,egg,P,early,NA,15-Sep,0,0,30,
4,21,15.75,egg,P,late,27-Aug,17-Sep,0,1,26,
5,21,16.25,egg,S,early,NA,5-Sep,5,8,7,
5,21,16.25,egg,Y,early,NA,5-Sep,0,0,25,
5,21,16.25,egg,V,early,NA,10-Sep,16,11,3,
5,21,16.25,egg,S,late,NA,10-Sep,2,6,12,10 mold deaths
5,21,16.25,egg,Y,late,23-Aug,10-Sep,0,1,30,
5,21,16.25,egg,V,late,24-Aug,12-Sep,10,12,6,
5,21,16.25,egg,MC,early,NA,13-Sep,0,2,13,15 mold deaths
5,21,16.25,egg,BS,early,NA,15-Sep,0,0,30,
5,21,16.25,egg,M,early,NA,12-Sep,0,1,27,
5,21,16.25,egg,BL,early,NA,13-Sep,0,0,32,
5,21,16.25,egg,WP,early,NA,15-Sep,0,0,19,
5,21,16.25,egg,FD,early,NA,13-Sep,3,2,22,
5,21,16.25,egg,MC,late,NA,16-Sep,0,1,5,10 mold deaths
5,21,16.25,egg,BS,late,NA,17-Sep,1,2,15,
5,21,16.25,egg,M,late,24-Aug,16-Sep,0,2,26,
5,21,16.25,egg,BL,late,26-Aug,16-Sep,0,1,27,
5,21,16.25,egg,WP,late,NA,17-Sep,0,1,23,
5,21,16.25,egg,FD,late,25-Aug,17-Sep,7,9,11,
5,21,16.25,egg,P,early,NA,15-Sep,2,0,25,
5,21,16.25,egg,P,late,29-Aug,17-Sep,10,5,15,
6,21,16.75,egg,S,early,NA,5-Sep,12,6,6,
6,21,16.75,egg,Y,early,NA,5-Sep,7,11,12,
6,21,16.75,egg,V,early,NA,10-Sep,11,17,0,
6,21,16.75,egg,S,late,23-Aug,10-Sep,9,6,13,
6,21,16.75,egg,Y,late,23-Aug,10-Sep,3,4,28,
6,21,16.75,egg,V,late,24-Aug,12-Sep,13,15,0,
6,21,16.75,egg,MC,early,24-Aug,13-Sep,2,1,28,
6,21,16.75,egg,BS,early,NA,15-Sep,1,2,24,
6,21,16.75,egg,M,early,NA,12-Sep,4,4,26,
6,21,16.75,egg,BL,early,NA,13-Sep,0,2,33,
6,21,16.75,egg,WP,early,NA,15-Sep,3,9,12,
6,21,16.75,egg,FD,early,NA,13-Sep,7,7,12,
6,21,16.75,egg,MC,late,NA,16-Sep,0,2,19,
6,21,16.75,egg,BS,late,NA,17-Sep,1,2,10,
6,21,16.75,egg,M,late,NA,16-Sep,0,0,11,
6,21,16.75,egg,BL,late,NA,16-Sep,3,5,9,
6,21,16.75,egg,WP,late,29-Aug,17-Sep,8,10,10,
6,21,16.75,egg,FD,late,27-Aug,17-Sep,6,11,7,
6,21,16.75,egg,P,early,NA,15-Sep,5,7,18,
6,21,16.75,egg,P,late,28-Aug,17-Sep,4,5,21,
1,21,14.75,larva,BS,NA,NA,17-Aug,0,3,5,
1,21,14.75,larva,S,NA,NA,17-Aug,0,2,25,
1,21,14.75,larva,P,NA,NA,17-Aug,0,0,22,
2,21,15.25,larva,BS,NA,NA,17-Aug,2,3,1,
2,21,15.25,larva,S,NA,NA,17-Aug,0,0,20,
2,21,15.25,larva,P,NA,NA,17-Aug,0,0,22,
