EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 11-10-2017
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TN   : minimum temperature in 0.1 &#176;C
30-34 Q_TN : Quality code for TN (0='valid'; 1='suspect'; 9='missing')

This is the series (SOUID: 123265) of GERMANY, HAMBURG-KIRCHWERDER (STAID: 4181)
See file sources.txt for more info.



 STAID, SOUID,    DATE,   TN, Q_TN
  4181,123265,19510101, -110,    0
  4181,123265,19510102,  -48,    0
  4181,123265,19510103,  -47,    0
  4181,123265,19510104,  -47,    0
  4181,123265,19510105,   10,    0
  4181,123265,19510106,   32,    0
  4181,123265,19510107,   32,    0
  4181,123265,19510108,   25,    0
  4181,123265,19510109,   27,    0
  4181,123265,19510110,   -3,    0
  4181,123265,19510111,   11,    0
  4181,123265,19510112,   16,    0
  4181,123265,19510113,   -6,    0
  4181,123265,19510114,   19,    0
  4181,123265,19510115,   15,    0
  4181,123265,19510116,   17,    0
  4181,123265,19510117,   19,    0
  4181,123265,19510118,   41,    0
  4181,123265,19510119,   27,    0
  4181,123265,19510120,   15,    0
  4181,123265,19510121,  -38,    0
  4181,123265,19510122,  -50,    0
  4181,123265,19510123,   14,    0
  4181,123265,19510124,    0,    0
  4181,123265,19510125,  -43,    0
  4181,123265,19510126,  -49,    0
  4181,123265,19510127,  -43,    0
  4181,123265,19510128,  -12,    0
  4181,123265,19510129,  -17,    0
  4181,123265,19510130,  -36,    0
  4181,123265,19510131,  -67,    0
  4181,123265,19510201,  -34,    0
  4181,123265,19510202,  -26,    0
  4181,123265,19510203,  -95,    0
  4181,123265,19510204,  -64,    0
  4181,123265,19510205,  -16,    0
  4181,123265,19510206,  -13,    0
  4181,123265,19510207,  -28,    0
  4181,123265,19510208,  -18,    0
  4181,123265,19510209,   36,    0
  4181,123265,19510210,    7,    0
  4181,123265,19510211,    6,    0
  4181,123265,19510212,  -15,    0
  4181,123265,19510213,   -3,    0
  4181,123265,19510214,   -3,    0
  4181,123265,19510215,   -4,    0
  4181,123265,19510216,    0,    0
  4181,123265,19510217,    5,    0
  4181,123265,19510218,   10,    0
  4181,123265,19510219,   17,    0
  4181,123265,19510220,   15,    0
  4181,123265,19510221,   20,    0
  4181,123265,19510222,   18,    0
  4181,123265,19510223,    0,    0
  4181,123265,19510224,   -5,    0
  4181,123265,19510225,  -18,    0
  4181,123265,19510226,  -17,    0
  4181,123265,19510227,   -5,    0
  4181,123265,19510228,  -22,    0
  4181,123265,19510301,  -18,    0
  4181,123265,19510302,  -21,    0
  4181,123265,19510303,  -30,    0
  4181,123265,19510304,  -54,    0
  4181,123265,19510305,  -49,    0
  4181,123265,19510306,  -17,    0
  4181,123265,19510307,  -40,    0
  4181,123265,19510308,  -22,    0
  4181,123265,19510309,  -23,    0
  4181,123265,19510310,  -25,    0
  4181,123265,19510311,  -25,    0
  4181,123265,19510312,  -14,    0
  4181,123265,19510313,    4,    0
  4181,123265,19510314,   44,    0
  4181,123265,19510315,   30,    0
  4181,123265,19510316,    7,    0
  4181,123265,19510317,   36,    0
  4181,123265,19510318,   76,    0
  4181,123265,19510319,    3,    0
  4181,123265,19510320,  -20,    0
  4181,123265,19510321,  -25,    0
  4181,123265,19510322,  -25,    0
  4181,123265,19510323,   35,    0
  4181,123265,19510324,   12,    0
  4181,123265,19510325,   -9,    0
  4181,123265,19510326,   -8,    0
  4181,123265,19510327,  -15,    0
  4181,123265,19510328,  -19,    0
  4181,123265,19510329,  -13,    0
  4181,123265,19510330,  -21,    0
  4181,123265,19510331,    3,    0
  4181,123265,19510401,    0,    0
  4181,123265,19510402,   45,    0
  4181,123265,19510403,   24,    0
  4181,123265,19510404,   -4,    0
  4181,123265,19510405,   21,    0
  4181,123265,19510406,   30,    0
  4181,123265,19510407,   70,    0
  4181,123265,19510408,   48,    0
  4181,123265,19510409,   22,    0
  4181,123265,19510410,   37,    0
  4181,123265,19510411,   22,    0
  4181,123265,19510412,   -7,    0
  4181,123265,19510413,   37,    0
  4181,123265,19510414,    3,    0
  4181,123265,19510415,   -5,    0
  4181,123265,19510416,   41,    0
  4181,123265,19510417,   31,    0
  4181,123265,19510418,    3,    0
  4181,123265,19510419,    2,    0
  4181,123265,19510420,  -24,    0
  4181,123265,19510421,  -16,    0
  4181,123265,19510422,  -18,    0
  4181,123265,19510423,   -5,    0
  4181,123265,19510424,   12,    0
  4181,123265,19510425,   40,    0
  4181,123265,19510426,   69,    0
  4181,123265,19510427,   72,    0
  4181,123265,19510428,   55,    0
  4181,123265,19510429,   37,    0
  4181,123265,19510430,   59,    0
  4181,123265,19510501,   51,    0
  4181,123265,19510502,   51,    0
  4181,123265,19510503,   51,    0
  4181,123265,19510504,   77,    0
  4181,123265,19510505,   95,    0
  4181,123265,19510506,   58,    0
  4181,123265,19510507,   56,    0
  4181,123265,19510508,   63,    0
  4181,123265,19510509,   74,    0
  4181,123265,19510510,   68,    0
  4181,123265,19510511,   45,    0
  4181,123265,19510512,   20,    0
  4181,123265,19510513,   45,    0
  4181,123265,19510514,   59,    0
  4181,123265,19510515,   56,    0
  4181,123265,19510516,   57,    0
  4181,123265,19510517,   30,    0
  4181,123265,19510518,   65,    0
  4181,123265,19510519,   64,    0
  4181,123265,19510520,   88,    0
  4181,123265,19510521,   82,    0
  4181,123265,19510522,   95,    0
  4181,123265,19510523,   69,    0
  4181,123265,19510524,   92,    0
  4181,123265,19510525,   98,    0
  4181,123265,19510526,   81,    0
  4181,123265,19510527,   85,    0
  4181,123265,19510528,   82,    0
  4181,123265,19510529,   61,    0
  4181,123265,19510530,   31,    0
  4181,123265,19510531,   22,    0
  4181,123265,19510601,   56,    0
  4181,123265,19510602,   77,    0
  4181,123265,19510603,  125,    0
  4181,123265,19510604,  105,    0
  4181,123265,19510605,  105,    0
  4181,123265,19510606,  105,    0
  4181,123265,19510607,  117,    0
  4181,123265,19510608,   68,    0
  4181,123265,19510609,   42,    0
  4181,123265,19510610,   81,    0
  4181,123265,19510611,   81,    0
  4181,123265,19510612,   65,    0
  4181,123265,19510613,  120,    0
  4181,123265,19510614,  120,    0
  4181,123265,19510615,  125,    0
  4181,123265,19510616,  126,    0
  4181,123265,19510617,  102,    0
  4181,123265,19510618,  115,    0
  4181,123265,19510619,  103,    0
  4181,123265,19510620,   88,    0
  4181,123265,19510621,   84,    0
  4181,123265,19510622,  123,    0
  4181,123265,19510623,  137,    0
  4181,123265,19510624,  134,    0
  4181,123265,19510625,   95,    0
  4181,123265,19510626,  123,    0
  4181,123265,19510627,   98,    0
  4181,123265,19510628,   91,    0
  4181,123265,19510629,  104,    0
  4181,123265,19510630,  107,    0
  4181,123265,19510701,   94,    0
  4181,123265,19510702,  115,    0
  4181,123265,19510703,  142,    0
  4181,123265,19510704,  105,    0
  4181,123265,19510705,   95,    0
  4181,123265,19510706,   60,    0
  4181,123265,19510707,  110,    0
  4181,123265,19510708,  107,    0
  4181,123265,19510709,  159,    0
  4181,123265,19510710,  117,    0
